[00:47:15] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[00:48:09] [Worker-Main-9/INFO]: Preparing spawn area: 68%
[00:48:10] [Worker-Main-9/INFO]: Preparing spawn area: 70%
[00:48:10] [Worker-Main-9/INFO]: Preparing spawn area: 71%
[00:48:11] [Worker-Main-9/INFO]: Preparing spawn area: 72%
[00:48:11] [Worker-Main-9/INFO]: Preparing spawn area: 72%
[00:48:12] [Worker-Main-9/INFO]: Preparing spawn area: 72%
[00:48:12] [Worker-Main-9/INFO]: Preparing spawn area: 72%
[00:48:13] [Worker-Main-9/INFO]: Preparing spawn area: 72%
[00:48:13] [Worker-Main-9/INFO]: Preparing spawn area: 72%
[00:48:14] [Worker-Main-9/INFO]: Preparing spawn area: 72%
[00:48:14] [Worker-Main-9/INFO]: Preparing spawn area: 72%
[00:48:15] [Worker-Main-9/INFO]: Preparing spawn area: 72%
[00:48:15] [Worker-Main-9/INFO]: Preparing spawn area: 72%
[00:48:16] [Worker-Main-9/INFO]: Preparing spawn area: 72%
[00:48:16] [Worker-Main-9/INFO]: Preparing spawn area: 72%
[00:48:17] [Worker-Main-9/INFO]: Preparing spawn area: 72%
[00:48:17] [Worker-Main-9/INFO]: Preparing spawn area: 72%
[00:48:18] [Worker-Main-9/INFO]: Preparing spawn area: 72%
[00:48:18] [Worker-Main-9/INFO]: Preparing spawn area: 72%
[00:48:19] [Server thread/INFO]: Time elapsed: 46542 ms
[00:48:19] [Server thread/INFO]: Done (59.364s)! For help, type "help"
[00:48:28] [Server thread/INFO]: Villager byb['Villager'/122, l='ServerLevel[world]', x=100.63, y=71.50, z=133.28] died, message: 'Villager suffocated in a wall'
[00:49:31] [Server thread/INFO]: Irregular24[/127.156.100.117:56915] logged in with entity id 380 at (9.5, 78.0, -6.5)
[00:49:31] [Server thread/INFO]: Irregular24 joined the game
